Naam,Levensdata,Relatie,Betrokkene
Agnes Sorel,,"Minnerelatie met 
Tegenstander van","Charles VII,
Louis XI"
Anne de Bretagne,,"Gehuwd met, Huwelijk 2 met","Charles VIII, Louis XII"
Diane de Poitiers,,"Minnerelatie met,
Tegenstander van","Henri II,
Catharina de Medici"
Catharina de Medici,,"Gehuwd met, Tegenstander van","Henri II, Diane de Poitiers"
Maria de Medici,,Gehuwd met,Henri IV
Charles VII,1403/1461,Minnerelatie met,Agnes Sorel
Louis XI,1423/1483,Tegenstander van,Agnes Sorel
Louis XII,1462/1515,Gehuwd met,Anne de Bretagne
Charles VIII,1470/1498,Gehuwd met,Anne de Bretagne
Henri II,1519/1559,"Gehuwd met, Minnerelatie met","Diane de Poitiers, 
Catharina de Medici"
Henri IV,1553/1610,Huwelijk 2 met,
